iter	Passed	Remaining
0	54	5437
1	55	2709
2	55	1798
3	55	1343
4	56	1072
5	56	889
6	57	758
7	57	659
8	57	582
9	57	521
10	58	470
11	59	435
12	59	399
13	59	367
14	60	340
15	60	316
16	60	295
17	60	276
18	60	259
19	61	244
20	61	230
21	61	218
22	61	206
23	61	196
24	62	186
25	62	177
26	62	168
27	62	161
28	62	153
29	63	147
30	63	140
31	63	134
32	63	129
33	63	124
34	64	119
35	64	115
36	65	110
37	65	106
38	65	102
39	65	98
40	65	94
41	66	91
42	66	87
43	66	84
44	66	81
45	66	78
46	66	75
47	67	72
48	67	69
49	67	67
50	67	64
51	67	62
52	67	60
53	68	58
54	68	55
55	68	53
56	68	51
57	68	49
58	69	47
59	69	46
60	69	44
61	69	42
62	69	40
63	69	39
64	70	37
65	70	36
66	70	34
67	70	33
68	70	31
69	70	30
70	70	28
71	71	27
72	71	26
73	71	25
74	71	23
75	71	22
76	72	21
77	72	20
78	72	19
79	72	18
80	72	17
81	72	16
82	73	14
83	73	13
84	73	12
85	73	11
86	73	11
87	73	10
88	74	9
89	74	8
90	74	7
91	74	6
92	75	5
93	75	4
94	75	3
95	75	3
96	75	2
97	75	1
98	76	0
99	76	0
